Time[s], Channel 1,,
0.97,0,0.004987167,4987.166667
0.974987167,1,0.000142167,142.1666667
0.975129333,0,0.00060725,607.25
0.975736583,1,0.000509833,509.8333333
0.976246417,0,0.000231417,231.4166667
0.976477833,1,0.000140875,140.875
0.976618708,0,0.000597875,597.875
0.977216583,1,0.000145708,145.7083333
0.977362292,0,0.000604833,604.8333333
0.977967125,1,0.000139792,139.7916667
0.978106917,0,0.000611042,611.0416667
0.978717958,1,0.000505708,505.7083333
0.979223667,0,0.000229917,229.9166667
0.979453583,1,0.000142125,142.125
0.979595708,0,0.000600625,600.625
0.980196333,1,0.0005165,516.5
0.980712833,0,0.000227292,227.2916667
0.980940125,1,0.000144833,144.8333333
0.981084958,0,0.000604375,604.375
0.981689333,1,0.000512083,512.0833333
0.982201417,0,0.000229958,229.9583333
0.982431375,1,0.000142833,142.8333333
0.982574208,0,0.000602375,602.375
0.983176583,1,0.000514583,514.5833333
0.983691167,0,0.00023175,231.75
0.983922917,1,0.000140292,140.2916667
0.984063208,0,0.000601875,601.875
0.984665083,1,0.000514875,514.875
0.985179958,0,0.000229208,229.2083333
0.985409167,1,0.000142292,142.2916667
0.985551458,0,0.000601,601
0.986152458,1,0.00051625,516.25
0.986668708,0,0.000230958,230.9583333
0.986899667,1,0.000140417,140.4166667
0.987040083,0,0.000609708,609.7083333
0.987649792,1,0.000135708,135.7083333
0.9877855,0,0.000599375,599.375
0.988384875,1,0.000517917,517.9166667
0.988902792,0,0.000235333,235.3333333
0.989138125,1,0.000508875,508.875
0.989647,0,0.000229833,229.8333333
0.989876833,1,0.000141875,141.875
0.990018708,0,0.000601833,601.8333333
0.990620542,1,0.000144042,144.0416667
0.990764583,0,0.000603333,603.3333333
0.991367917,1,0.000511667,511.6666667
0.991879583,0,0.000236958,236.9583333
0.992116542,1,0.00050825,508.25
0.992624792,0,0.000229542,229.5416667
0.992854333,1,0.000142375,142.375
0.992996708,0,-0.992996708,-992996.7083
